ID,col,row,x 2d,y 2d,dmx universe,dmx channel
0,0,0,0,0,1,165
1,1,0,1,0,1,164
2,2,0,2,0,1,163
3,3,0,3,0,1,162
4,4,0,4,0,1,161
5,5,0,5,0,1,1
6,6,0,6,0,1,2
7,7,0,7,0,1,3
8,8,0,8,0,1,4
9,9,0,9,0,1,5
10,0,1,0,1,1,170
11,1,1,1,1,1,169
12,2,1,2,1,1,168
13,3,1,3,1,1,167
14,4,1,4,1,1,166
15,5,1,5,1,1,6
16,6,1,6,1,1,7
17,7,1,7,1,1,8
18,8,1,8,1,1,9
19,9,1,9,1,1,10
20,0,2,0,2,1,175
21,1,2,1,2,1,174
22,2,2,2,2,1,173
23,3,2,3,2,1,172
24,4,2,4,2,1,171
25,5,2,5,2,1,11
26,6,2,6,2,1,12
27,7,2,7,2,1,13
28,8,2,8,2,1,14
29,9,2,9,2,1,15
30,0,3,0,3,1,180
31,1,3,1,3,1,179
32,2,3,2,3,1,178
33,3,3,3,3,1,177
34,4,3,4,3,1,176
35,5,3,5,3,1,16
36,6,3,6,3,1,17
37,7,3,7,3,1,18
38,8,3,8,3,1,19
39,9,3,9,3,1,20
40,0,4,0,4,1,185
41,1,4,1,4,1,184
42,2,4,2,4,1,183
43,3,4,3,4,1,182
44,4,4,4,4,1,181
45,5,4,5,4,1,21
46,6,4,6,4,1,22
47,7,4,7,4,1,23
48,8,4,8,4,1,24
49,9,4,9,4,1,25
50,0,5,0,5,1,190
51,1,5,1,5,1,189
52,2,5,2,5,1,188
53,3,5,3,5,1,187
54,4,5,4,5,1,186
55,5,5,5,5,1,26
56,6,5,6,5,1,27
57,7,5,7,5,1,28
58,8,5,8,5,1,29
59,9,5,9,5,1,30
60,0,6,0,6,1,195
61,1,6,1,6,1,194
62,2,6,2,6,1,193
63,3,6,3,6,1,192
64,4,6,4,6,1,191
65,5,6,5,6,1,31
66,6,6,6,6,1,32
67,7,6,7,6,1,33
68,8,6,8,6,1,34
69,9,6,9,6,1,35
70,0,7,0,7,1,200
71,1,7,1,7,1,199
72,2,7,2,7,1,198
73,3,7,3,7,1,197
74,4,7,4,7,1,196
75,5,7,5,7,1,36
76,6,7,6,7,1,37
77,7,7,7,7,1,38
78,8,7,8,7,1,39
79,9,7,9,7,1,40
80,0,8,0,8,1,205
81,1,8,1,8,1,204
82,2,8,2,8,1,203
83,3,8,3,8,1,202
84,4,8,4,8,1,201
