ID,row,col,dmx universe,dmx channel
0,0,0,1,1
1,0,1,1,2
2,0,2,1,3
3,0,3,1,4
4,0,4,1,5
5,0,5,1,6
6,0,6,1,7
7,0,7,1,8
8,0,8,1,9
9,0,9,1,10
10,1,0,1,11
11,1,1,1,12
12,1,2,1,13
13,1,3,1,14
14,1,4,1,15
15,1,5,1,16
16,1,6,1,17
17,1,7,1,18
18,1,8,1,19
19,1,9,1,20
20,2,0,1,21
21,2,1,1,22
22,2,2,1,23
23,2,3,1,24
24,2,4,1,25
25,2,5,1,26
26,2,6,1,27
27,2,7,1,28
28,2,8,1,29
29,2,9,1,30
30,3,0,1,31
31,3,1,1,32
32,3,2,1,33
33,3,3,1,34
34,3,4,1,35
35,3,5,1,36
36,3,6,1,37
37,3,7,1,38
38,3,8,1,39
39,3,9,1,40
40,4,0,1,41
41,4,1,1,42
42,4,2,1,43
43,4,3,1,44
44,4,4,1,45
45,4,5,1,46
46,4,6,1,47
47,4,7,1,48
48,4,8,1,49
49,4,9,1,50
50,5,0,1,51
51,5,1,1,52
52,5,2,1,53
53,5,3,1,54
54,5,4,1,55
55,5,5,1,56
56,5,6,1,57
57,5,7,1,58
58,5,8,1,59
59,5,9,1,60
60,6,0,1,61
61,6,1,1,62
62,6,2,1,63
63,6,3,1,64
64,6,4,1,65
65,6,5,1,66
66,6,6,1,67
67,6,7,1,68
68,6,8,1,69
69,6,9,1,70
70,7,0,1,71
71,7,1,1,72
72,7,2,1,73
73,7,3,1,74
74,7,4,1,75
75,7,5,1,76
76,7,6,1,77
77,7,7,1,78
78,7,8,1,79
79,7,9,1,80
80,8,0,1,81
81,8,1,1,82
82,8,2,1,83
83,8,3,1,84
84,8,4,1,85
85,8,5,1,86
86,8,6,1,87
87,8,7,1,88
88,8,8,1,89
89,8,9,1,90
90,9,0,1,91
91,9,1,1,92
92,9,2,1,93
93,9,3,1,94
94,9,4,1,95
95,9,5,1,96
96,9,6,1,97
97,9,7,1,98
98,9,8,1,99
99,9,9,1,100
100,10,0,1,101
101,10,1,1,102
102,10,2,1,103
103,10,3,1,104
104,10,4,1,105
105,10,5,1,106
106,10,6,1,107
107,10,7,1,108
108,10,8,1,109
109,10,9,1,110
110,11,0,1,111
111,11,1,1,112
112,11,2,1,113
113,11,3,1,114
114,11,4,1,115
115,11,5,1,116
116,11,6,1,117
117,11,7,1,118
118,11,8,1,119
119,11,9,1,120
120,12,0,1,121
121,12,1,1,122
122,12,2,1,123
123,12,3,1,124
124,12,4,1,125
125,12,5,1,126
126,12,6,1,127
127,12,7,1,128
128,12,8,1,129
129,12,9,1,130
130,13,0,1,131
131,13,1,1,132
132,13,2,1,133
133,13,3,1,134
134,13,4,1,135
135,13,5,1,136
136,13,6,1,137
137,13,7,1,138
138,13,8,1,139
139,13,9,1,140
140,14,0,1,141
141,14,1,1,142
142,14,2,1,143
143,14,3,1,144
144,14,4,1,145
145,14,5,1,146
146,14,6,1,147
147,14,7,1,148
148,14,8,1,149
149,14,9,1,150
150,15,0,1,151
151,15,1,1,152
152,15,2,1,153
153,15,3,1,154
154,15,4,1,155
155,15,5,1,156
156,15,6,1,157
157,15,7,1,158
158,15,8,1,159
159,15,9,1,160
160,16,0,1,161
161,16,1,1,162
162,16,2,1,163
163,16,3,1,164
164,16,4,1,165
165,16,5,1,166
166,16,6,1,167
167,16,7,1,168
168,16,8,1,169
169,16,9,1,170
170,17,0,1,171
171,17,1,1,172
172,17,2,1,173
173,17,3,1,174
174,17,4,1,175
175,17,5,1,176
176,17,6,1,177
177,17,7,1,178
178,17,8,1,179
179,17,9,1,180
180,18,0,1,181
181,18,1,1,182
182,18,2,1,183
183,18,3,1,184
184,18,4,1,185
185,18,5,1,186
186,18,6,1,187
187,18,7,1,188
188,18,8,1,189
189,18,9,1,190
190,19,0,1,191
191,19,1,1,192
192,19,2,1,193
193,19,3,1,194
194,19,4,1,195
195,19,5,1,196
196,19,6,1,197
197,19,7,1,198
198,19,8,1,199
199,19,9,1,200
200,20,0,1,201
201,20,1,1,202
202,20,2,1,203
203,20,3,1,204
204,20,4,1,205
205,20,5,1,206
206,20,6,1,207
207,20,7,1,208
208,20,8,1,209
209,20,9,1,210
210,21,0,1,211
211,21,1,1,212
212,21,2,1,213
213,21,3,1,214
214,21,4,1,215
215,21,5,1,216
216,21,6,1,217
217,21,7,1,218
218,21,8,1,219
219,21,9,1,220
220,22,0,1,221
221,22,1,1,222
222,22,2,1,223
223,22,3,1,224
224,22,4,1,225
225,22,5,1,226
226,22,6,1,227
227,22,7,1,228
228,22,8,1,229
229,22,9,1,230
230,23,0,1,231
231,23,1,1,232
232,23,2,1,233
233,23,3,1,234
234,23,4,1,235
235,23,5,1,236
236,23,6,1,237
237,23,7,1,238
238,23,8,1,239
239,23,9,1,240
240,24,0,1,241
241,24,1,1,242
242,24,2,1,243
243,24,3,1,244
244,24,4,1,245
245,24,5,1,246
246,24,6,1,247
247,24,7,1,248
248,24,8,1,249
249,24,9,1,250
250,25,0,1,251
251,25,1,1,252
252,25,2,1,253
253,25,3,1,254
254,25,4,1,255
255,25,5,1,256
256,25,6,1,257
257,25,7,1,258
258,25,8,1,259
259,25,9,1,260
260,26,0,1,261
261,26,1,1,262
262,26,2,1,263
263,26,3,1,264
264,26,4,1,265
265,26,5,1,266
266,26,6,1,267
267,26,7,1,268
268,26,8,1,269
269,26,9,1,270
270,27,0,1,271
271,27,1,1,272
272,27,2,1,273
273,27,3,1,274
274,27,4,1,275
275,27,5,1,276
276,27,6,1,277
277,27,7,1,278
278,27,8,1,279
279,27,9,1,280
